record_id,field,value,language,status,source_url,checked_on,note
1,library,The Mesrop Mashtots Institute of Ancient Manuscripts (Matenadaran),,pending,,,
2,library,La Trobe University Library,,pending,,,
3,library,National Library of Australia,,verified,https://www.library.gov.au/discover/what-we-collect/manuscripts-collection/medieval-manuscripts,2026-09-22,Official page identifies the institution as holder of the medieval manuscripts; the listed finding aid remains a distinct access point.
4,library,State Library of South Australia,,pending,,,
5,library,State Library of Victoria,,pending,,,
6,library,State Library of New South Wales,,pending,,,
7,library,Australian National University,,pending,,,
8,library,University of Melbourne,,pending,,,
9,library,University of Sydney,,pending,,,
10,library,Art Gallery of Ballarat,,pending,,,
11,library,Osterreichischen Nationalbibliothek,,pending,,,
12,library,Universitätsbibliothek Karl-Franzens,,pending,,,
13,library,Oberosterreichische Landesbibliothek,,pending,,,
14,library,Augustiner-Chorherrenstift Klosterneuburg,,pending,,,
15,library,"Erzabtei St. Peter, Bibliothek",,pending,,,
16,library,Zisterzienserstift Zwettl,,pending,,,
17,library,Benediktinerstift Melk,,pending,,,
18,library,Universitätsbibliothek,,pending,,,
19,library,Zisterzienserstift Heiligenkreuz,,pending,,,
20,library,Universitätsbibliothek Klagenfurt,,pending,,,
21,library,Gemeindearchiv,,pending,,,
22,library,"Koninklijke Bibliotheek van Belgie, Bibliotheque royale de Belgique",,pending,,,
23,library,Bibliotheques de l'Universite de Liege,,pending,,,
24,library,Universiteitsbibliotheek Gent,,verified,https://www.ugent.be/nl/univgent/bibliotheek,2026-09-22,UGent publishes this Dutch name for the university library network; the MMFC institution filter names the same network and remains its own access point.
24,library_alternate_names,Ghent University Library,en,verified,https://www.ugent.be/en/ghentuniv/library,2026-09-22,UGent's English page names the same university library network.
25,library,KU Leuven Bibliotheken,,verified,https://bib.kuleuven.be/,2026-09-22,Official Dutch name on the KU Leuven Libraries site; records remain distinct access points.
26,library,Erfgoedbibliotheek Hendrik Conscience,,pending,,,
27,library,Bibliotheek Hasselt Limburg,,pending,,,
28,library,KU Leuven Bibliotheken,,verified,https://bib.kuleuven.be/,2026-09-22,Official Dutch name on the KU Leuven Libraries site; records remain distinct access points.
29,library,Universiteitsbibliotheek Gent,,verified,https://www.ugent.be/nl/univgent/bibliotheek,2026-09-22,UGent publishes this Dutch name for the university library network; the Erfgoedparels provider filter names it and remains a distinct access point from record 24.
29,library_alternate_names,Ghent University Library,en,verified,https://www.ugent.be/en/ghentuniv/library,2026-09-22,UGent's English page names the same university library network.
30,library,Universiteit Antwerpen,,pending,,,
31,library,Museum Plantin-Moretus,,pending,,,
32,library,Openbare Bibliotheek Brugge,,pending,,,
35,library,National Library of Bulgaria,,pending,,,
37,library,Thomas Fisher Rare Book Library,,pending,,,
38,library,"University of Toronto, Fisher Library, Collection of Manuscript Fragments",,pending,,,
39,library,University of Victoria,,pending,,,
40,library,"Queen Elizabeth II Library, Memorial University",,pending,,,
41,library,Croatian State Archives,,pending,,,
42,library,Research Library in Olomouc,,pending,,,
43,library,Royal Canonry of Premonstratensians at Strahov,,pending,,,
44,library,National Library of the Czech Republic,,pending,,,First name-review batch; verify the holding institution and access-point scope.
45,library,National Museum Library,,pending,,,
46,library,Moravian Library,,pending,,,
47,library,Det Kongelige Bibliotek,,pending,,,First name-review batch; verify the holding institution and access-point scope.
48,library,The Arnamagnaean Manuscript Collection,,pending,,,
49,library,The British Library,,verified,https://www.bl.uk/collection/digitised-manuscripts-archives,2026-09-22,The institution publishes this access page and holds many listed manuscripts; it also points to images from other archives so this name is not an item-level holding claim.
50,library,Balliol College Special Collections,,pending,,,
51,library,The Bodleian Library,,pending,https://digital.bodleian.ox.ac.uk/,2026-09-22,Digital Bodleian includes holdings from the Bodleian Libraries and Oxford college libraries; this portal-wide access point has no single verified holding institution.
51,access_point_title,Digital Bodleian,,verified,https://digital.bodleian.ox.ac.uk/,2026-09-22,The portal publishes this title and describes content from the Bodleian Libraries and Oxford college libraries.
52,library,University of Manchester Library: The John Rylands Library,,pending,,,
53,library,"Wren Library, Trinity College",,pending,,,
54,library,"Parker Library, Corpus Christi College",,pending,,,
55,library,Lichfield Cathedral Library,,pending,,,
56,library,The Fitzwilliam Museum,,pending,,,
57,library,Cambridge Digital Library,,pending,,,
59,library,Polonsky Project,,pending,,,
60,library,Leeds University Library,,pending,,,
